TERM,SUBJECT,NBR,COURSE NAME,SECTION,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,F,W,INC/NA,AVG GPA
FA24,CSCI,323,Design & Analysis Algorithms,111,"BROWN, T",27,1,3,2,1,5,1,0,3,1,0,0,9,1,0,2.004
FA24,CSCI,323,Design & Analysis Algorithms,112,"MITCHELL, T",24,0,1,1,0,1,3,2,1,0,0,0,7,8,0,1.588
FA24,CSCI,325,Machine Learning,212,"TSAI, C",40,0,5,4,7,5,6,1,2,0,0,0,3,7,0,2.891
FA24,CSCI,331,Database Systems,231,"STEINBERG, O",32,0,1,4,5,5,3,3,5,1,2,1,0,2,0,2.687
FA24,CSCI,331,Database Systems,111,"CHYN, X",35,0,3,3,2,5,4,4,8,0,0,0,4,2,0,2.445
FA24,CSCI,331,Database Systems,131,"SVADLENKA, J",32,0,3,2,3,1,3,1,7,0,0,0,5,7,0,2.268
FA24,CSCI,331,Database Systems,211,"SY, B",28,0,0,2,3,1,2,4,4,2,0,1,4,5,0,2.057
FA24,CSCI,331,Database Systems,121,"OBRENIC, B",66,4,2,2,4,10,2,6,16,0,0,0,17,3,0,1.997
FA24,CSCI,334,Data Mining and Warehousing,222,"SY, B",24,0,0,2,4,4,3,4,0,0,0,0,1,6,0,2.772
FA24,CSCI,335,Information Org and Retrieval,112,"GOLDBERG, R",44,0,4,5,12,14,4,2,2,0,0,0,0,1,0,3.151
FA24,CSCI,340,Operating Systems Principles,121,"CHYN, X",34,0,3,3,4,8,3,4,5,1,0,0,2,1,0,2.706
FA24,CSCI,340,Operating Systems Principles,131,"TELANG, G",31,0,4,0,6,3,4,3,7,0,0,0,2,2,0,2.638
FA24,CSCI,340,Operating Systems Principles,132,"UPADHYAY, V",35,0,1,0,1,3,4,0,5,0,0,0,3,18,0,2.182
FA24,CSCI,340,Operating Systems Principles,133,"UPADHYAY, V",17,0,0,3,1,0,0,0,3,0,0,0,3,7,0,2.04
FA24,CSCI,340,Operating Systems Principles,112,"FLUTURE, S",32,1,0,0,2,1,3,4,4,0,0,0,5,12,0,1.945
FA24,CSCI,340,Operating Systems Principles,222,"RAHMAN, M",36,0,3,3,2,2,4,1,1,0,0,0,13,7,0,1.752
FA24,CSCI,340,Operating Systems Principles,111,"FLUTURE, S",32,0,1,1,1,2,2,2,3,0,0,0,13,7,0,1.32
FA24,CSCI,340,Operating Systems Principles,221,"SVITAK JR, J",36,0,0,0,1,0,1,3,4,4,6,8,7,2,0,1.279
FA24,CSCI,343,Computer Architecture,131,"UPADHYAY, V",41,1,2,2,8,3,1,3,6,0,0,0,1,14,0,2.83
FA24,CSCI,343,Computer Architecture,231,"TELANG, G",38,0,6,0,7,5,7,5,2,0,0,0,6,0,0,2.539
FA24,CSCI,343,Computer Architecture,232,"TELANG, G",36,0,6,0,4,5,3,4,4,0,0,0,6,4,0,2.422
FA24,CSCI,343,Computer Architecture,112,"SMITH-THOMPSON, A",38,0,5,0,1,2,2,5,7,0,0,0,6,9,1,2.15
FA24,CSCI,343,Computer Architecture,211,"FLUTURE, S",40,2,2,3,2,0,3,6,4,0,0,0,9,9,0,2.052
FA24,CSCI,343,Computer Architecture,111,"SMITH-THOMPSON, A",38,0,5,0,2,1,6,3,8,0,0,0,9,4,0,2.021
FA24,CSCI,343,Computer Architecture,212,"FLUTURE, S",40,1,3,0,3,4,2,5,2,0,0,0,10,9,1,1.96
FA24,CSCI,344,Distributed Systems,131,"TELANG, G",30,0,5,0,1,3,5,6,4,0,0,0,0,6,0,2.817
FA24,CSCI,348,Data Communications,221,"AKINLAR, C",40,0,5,2,3,5,8,5,5,0,0,0,2,5,0,2.726
FA24,CSCI,355,Internet and Web Technologies,211,"FRIED, M",58,2,11,7,7,9,7,6,2,0,0,0,3,4,0,3.05
FA24,CSCI,355,Internet and Web Technologies,221,"SVITAK JR, J",39,0,1,2,0,5,3,8,2,3,4,3,3,5,0,2.065
FA24,CSCI,355,Internet and Web Technologies,231,"LAW, R",37,1,1,2,0,5,3,5,3,0,0,0,13,4,0,1.697
FA24,CSCI,355,Internet and Web Technologies,611,"LAW, R",31,2,2,1,0,3,0,1,1,0,0,0,17,4,0,1.222
FA24,CSCI,355,Internet and Web Technologies,232,"LAW, R",30,1,1,1,1,2,0,2,0,0,0,0,17,5,0,1.024
FA24,CSCI,361,Numerical Methods,111,"BROWN, T",42,1,4,3,0,3,4,2,6,2,0,1,13,3,0,1.844
FA24,CSCI,363,Artificial Intelligence,211,"GRYAK, J",30,1,2,1,2,3,4,1,3,0,0,0,6,7,0,2.191
FA24,CSCI,366,Natural Language Processing,132,"ROZOVSKAYA, A",43,1,1,0,1,4,0,2,3,0,0,1,20,10,0,1.058
FA24,CSCI,370,Software Engineering,221,"TSAI, C",30,2,2,7,4,3,6,0,4,0,0,0,1,1,0,3.045
FA24,CSCI,370,Software Engineering,232,"GREENBERG, A",62,2,6,7,11,15,5,8,5,0,1,0,1,1,0,2.99
FA24,CSCI,370,Software Engineering,222,"TSAI, C",17,1,2,3,0,0,0,2,3,0,0,0,6,0,0,1.982
FA24,CSCI,370,Software Engineering,131,"ABREU, A",22,0,0,1,1,2,1,3,6,0,2,1,3,2,0,1.91
FA24,CSCI,381,VT: Special Topics in Comp Sci,133,"KAHROBAEI, D",49,1,48,0,0,0,0,0,0,0,0,0,0,0,0,4
FA24,CSCI,381,VT: Special Topics in Comp Sci,224,"PHILLIPS, T",28,4,1,3,3,1,0,3,1,0,0,0,0,12,0,3.306
FA24,CSCI,381,VT: Special Topics in Comp Sci,214,"HELLER, P",20,0,2,6,3,0,2,1,3,0,0,0,0,3,0,3.165
FA24,CSCI,381,VT: Special Topics in Comp Sci,231,"RODAY, R",50,3,6,5,7,14,7,1,2,0,0,1,2,2,0,3.038
FA24,CSCI,381,VT: Special Topics in Comp Sci,121,"WAXMAN, J",39,7,5,3,3,6,3,4,4,0,1,0,3,0,0,2.913
FA24,CSCI,381,VT: Special Topics in Comp Sci,213,"SY, B",14,0,1,1,2,2,1,2,2,0,0,0,2,1,0,2.431
FA24,CSCI,381,VT: Special Topics in Comp Sci,221,"RAHMAN, M",42,2,0,0,3,4,6,4,11,0,4,2,1,5,0,2.284
FA24,CSCI,3913,VT: Honors Problems Comp Sci,60,"MITCHELL, T",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
FA24,CSCI,3913,VT: Honors Problems Comp Sci,61,"GRYAK, J",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
FA24,CSCI,3953,Research Projects,60,"KAHROBAEI, D",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7
FA24,CSCI,3981,Internship,60,"LORD, K",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
FA24,CSCI,48,Spreadsheet Programming,211,"FRIED, M",88,0,23,15,11,8,8,13,5,0,0,0,0,5,0,3.245
FA24,CSCI,48,Spreadsheet Programming,131,"JAGDEO, M",115,4,5,5,13,14,10,9,1,15,11,0,16,12,0,2.222
FA24,CSCI,612,Advanced Programming in Java,231,"STEINBERG, O",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
FA24,CSCI,640,Comp Org & Assembly Lang,232,"YEH, J",2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.35
FA24,CSCI,655,Internet and Web Technologies,232,"LAW, R",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
FA24,CSCI,700,Algorithms I,111,"BROWN, T",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
FA24,CSCI,700,Algorithms I,212,"LI, J",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.7
FA24,CSCI,700,Algorithms I,221,"LI, J",4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3.25
FA24,CSCI,711,Database Systems,121,"OBRENIC, B",8,2,1,0,1,1,0,0,2,0,0,0,1,0,0,2.788
FA24,CSCI,715,Distributed Computing,131,"TELANG, G",15,0,3,0,4,0,5,0,2,0,0,0,0,1,0,3.05
FA24,CSCI,744,Comp Architecture & Networks,232,"TELANG, G",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
FA24,CSCI,744,Comp Architecture & Networks,111,"SMITH-THOMPSON, A",2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4
FA24,CSCI,744,Comp Architecture & Networks,131,"UPADHYAY, V",4,0,1,1,0,0,0,0,1,0,0,0,0,1,0,3.233
FA24,CSCI,744,Comp Architecture & Networks,112,"SMITH-THOMPSON, A",2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
FA24,CSCI,748,Computer Networks,221,"AKINLAR, C",4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,3.4
FA24,CSCI,761,Numerical Methods,111,"BROWN, T",3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3.567
FA24,CSCI,780,Special Topics in Computer Sci,133,"KAHROBAEI, D",6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4
FA24,CSCI,780,Special Topics in Computer Sci,121,"WAXMAN, J",6,3,1,0,1,0,1,0,0,0,0,0,0,0,0,3.667
FA24,CSCI,780,Special Topics in Computer Sci,112,"GOLDBERG, R",5,0,2,1,1,1,0,0,0,0,0,0,0,0,0,3.6
FA24,CSCI,780,Special Topics in Computer Sci,132,"ROZOVSKAYA, A",2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.35
FA24,CSCI,780,Special Topics in Computer Sci,211,"GRYAK, J",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3.333
FA24,CSCI,780,Special Topics in Computer Sci,222,"SY, B",2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.2
FA24,CSCI,780,Special Topics in Computer Sci,213,"SY, B",2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
FA24,CSCI,780,Special Topics in Computer Sci,221,"RAHMAN, M",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.7
FA24,CSCI,780,Special Topics in Computer Sci,212,"TSAI, C",4,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2.25
FA24,CSCI,780,Special Topics in Computer Sci,224,"PHILLIPS, T",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FA24,CSCI,85,Database App Programming,211,"HELLER, P",12,0,0,0,2,1,2,0,1,0,0,0,1,5,0,2.429
,,,,,,,,,,,,,,,,,,,,,
TERM,SUBJECT,NBR,COURSE NAME,SECTION,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D,F,W,INC/NA,AVG GPA,
Spring 2024,CSCI,12,Intro Computers & Computation,711,"HUANG, X",33,10,3,2,4,0,2,1,1,0,0,0,10,0,3.578,
Spring 2024,CSCI,12,Intro Computers & Computation,711A,"HUANG, X",33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,
Spring 2024,CSCI,48,Spreadsheet Programming,131,"JAGDEO, M",100,4,10,7,8,4,7,7,2,5,13,7,26,0,2.443,
Spring 2024,CSCI,48,Spreadsheet Programming,131A,"JAGDEO, M",39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,
Spring 2024,CSCI,48,Spreadsheet Programming,131B,"JAGDEO, M",30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,
Spring 2024,CSCI,48,Spreadsheet Programming,131C,"DEMIRCI, G",31,0,0,0,0,0,0,0,0,0,0,0,0,31,0,
Spring 2024,CSCI,48,Spreadsheet Programming,211,"FRIED, M",88,0,18,13,21,15,3,2,0,1,1,3,11,0,3.244,
Spring 2024,CSCI,48,Spreadsheet Programming,211,"LANDAU, G",88,0,18,13,21,15,3,2,0,1,1,3,11,0,3.244,
Spring 2024,CSCI,48,Spreadsheet Programming,211A,"LANDAU, G",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,48,Spreadsheet Programming,211B,"LANDAU, G",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,48,Spreadsheet Programming,211C,"LANDAU, G",38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,
Spring 2024,CSCI,85,Database App Programming,131,"HILL, D",17,2,2,3,0,2,0,1,1,1,2,0,3,0,2.936,
Spring 2024,CSCI,90,Topics in Computing,132,"CONNOR, T",17,5,7,0,2,1,0,0,1,0,1,0,0,0,3.565,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,111,"CHYN, X",175,0,5,12,5,11,6,8,11,12,4,26,69,1,1.949,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,111B,"BOATENG, J",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,111C,"BOATENG, J",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,111E,"WANG, Y",38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,111F,"YANG, K",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,111G,"WANG, Y",24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,111K,"YANG, K",38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,131,"CHYN, X",116,3,8,3,4,11,7,5,11,3,2,6,51,0,2.552,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,131A,"GAO, T",22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,131B,"GAO, T",23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,131C,"SCHICK, M",24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,131D,"GAO, T",23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,131E,"ZHAO, A",24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,221,"AKINLAR, C",162,3,7,10,12,12,13,9,12,0,0,8,76,0,2.702,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,221A,"TSE, C",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,221B,"TSE, C",19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,221C,"TSE, C",38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,221D,"WU, S",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,221E,"WU, S",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,111,Intro Algorithmic Problem Solv,221F,"ZHAO, A",30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,111,"WAXMAN, J",220,28,11,21,15,17,22,13,24,0,17,23,27,0,2.558,
Spring 2024,CSCI,211,Object-Oriented Program in C++,111A,"GOMES, R",38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,111B,"GOMES, R",24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,111C,"WOLF-SONKIN, M",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,111D,"GOMES, R",24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,111E,"ZHOU, L",24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,111F,"CAMPBELL, A",30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,111G,"ZHOU, L",31,0,0,0,0,0,0,0,0,0,0,0,0,31,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,111H,"ZHOU, L",24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,121,"WAXMAN, J",172,17,10,20,10,10,14,8,22,0,9,28,24,0,2.393,
